molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,assay_chembl_id,confidence_score,target_chembl_id,document_chembl_id,source_pdb_id,source_uniprot_id
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398568,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2ccccc2s1,IC50,2000.0,nM,5.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398568,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2ccccc2s1,IC50,2000.0,nM,5.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398568,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2ccccc2s1,IC50,2000.0,nM,5.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398567,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2cc(F)ccc2[nH]1,IC50,20.0,nM,7.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398567,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2cc(F)ccc2[nH]1,IC50,20.0,nM,7.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL398567,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2cc(F)ccc2[nH]1,IC50,20.0,nM,7.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246240,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cc2ccccc2[nH]1,IC50,20.0,nM,7.7,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,600.0,nM,6.22,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,600.0,nM,6.22,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,600.0,nM,6.22,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,600.0,nM,6.22,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL246031,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccsc1,IC50,1000.0,nM,6.0,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245623,O=C(NCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccccc1,IC50,1500.0,nM,5.82,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL245622,O=C(NCCN1CCC(n2c(O)nc3ccccc32)CC1)c1ccc(F)cc1,IC50,1410.0,nM,5.85,,CHEMBL886696,8,CHEMBL2734,CHEMBL1139164,7svp,O14939
CHEMBL492972,O=C(NCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)c1ccc(F)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492972,O=C(NCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)c1ccc(F)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492972,O=C(NCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)c1ccc(F)c(F)c1,IC50,14.0,nM,7.85,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL246032,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1cnc2ccccc2c1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492971,O=C(NCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)c1ccc(Cl)cc1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492971,O=C(NCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)c1ccc(Cl)cc1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492971,O=C(NCCN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)c1ccc(Cl)cc1,IC50,42.0,nM,7.38,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL523162,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(F)ccc32)CC1)c1ccc(Cl)cc1,IC50,61.0,nM,7.21,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL523162,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(F)ccc32)CC1)c1ccc(Cl)cc1,IC50,61.0,nM,7.21,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL521990,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Br)ccc32)CC1)c1ccc(F)cc1,IC50,76.0,nM,7.12,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL521990,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Br)ccc32)CC1)c1ccc(F)cc1,IC50,76.0,nM,7.12,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492561,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Br)ccc32)CC1)c1ccc(Cl)cc1,IC50,97.0,nM,7.01,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492561,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Br)ccc32)CC1)c1ccc(Cl)cc1,IC50,97.0,nM,7.01,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL493010,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(F)ccc32)CC1)c1ccc2ccccc2c1,IC50,140.0,nM,6.85,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL493010,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(F)ccc32)CC1)c1ccc2ccccc2c1,IC50,140.0,nM,6.85,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492559,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Br)ccc32)CC1)NC(=O)c1ccc(F)c(F)c1,IC50,187.0,nM,6.73,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL494183,Cc1ccc(C(=O)NCCN2CCC(n3c(=O)[nH]c4cc(Cl)ccc43)CC2)cc1,IC50,240.0,nM,6.62,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL494183,Cc1ccc(C(=O)NCCN2CCC(n3c(=O)[nH]c4cc(Cl)ccc43)CC2)cc1,IC50,240.0,nM,6.62,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,300.0,nM,6.52,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,300.0,nM,6.52,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,300.0,nM,6.52,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,300.0,nM,6.52,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,300.0,nM,6.52,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,300.0,nM,6.52,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,300.0,nM,6.52,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL493521,C[C@@H](CN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)NC(=O)c1ccc2ccccc2c1,IC50,360.0,nM,6.44,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492369,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(F)ccc32)CC1)c1ccc(F)cc1,IC50,375.0,nM,6.43,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492369,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(F)ccc32)CC1)c1ccc(F)cc1,IC50,375.0,nM,6.43,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492797,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc2ccccc2c1,IC50,380.0,nM,6.42,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492797,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc2ccccc2c1,IC50,380.0,nM,6.42,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492797,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc2ccccc2c1,IC50,380.0,nM,6.42,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492797,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc2ccccc2c1,IC50,380.0,nM,6.42,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492797,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc2ccccc2c1,IC50,380.0,nM,6.42,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL2304616,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)C1C[C@@H]1c1ccccc1,IC50,520.0,nM,6.28,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL494007,O=C(C#Cc1ccccc1)NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,IC50,730.0,nM,6.14,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL494007,O=C(C#Cc1ccccc1)NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1,IC50,730.0,nM,6.14,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492558,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc(F)c(F)c1,IC50,730.0,nM,6.14,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL494008,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc2ncccc2c1,IC50,740.0,nM,6.13,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL494008,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc2ncccc2c1,IC50,740.0,nM,6.13,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL495018,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc2cc(F)ccc2c1,IC50,850.0,nM,6.07,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL495018,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)c1ccc2cc(F)ccc2c1,IC50,850.0,nM,6.07,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL494842,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)C1=CCc2ccccc2C1,IC50,860.0,nM,6.07,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL523011,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Br)ccc32)CC1)NC(=O)c1ccc(Cl)cc1,IC50,890.0,nM,6.05,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492572,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc2ccccc2c1,IC50,933.0,nM,6.03,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492572,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc2ccccc2c1,IC50,933.0,nM,6.03,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492572,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc2ccccc2c1,IC50,933.0,nM,6.03,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492572,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc2ccccc2c1,IC50,933.0,nM,6.03,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL522488,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(F)ccc32)CC1)NC(=O)c1ccc(Cl)cc1,IC50,1040.0,nM,5.98,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL521677,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)[C@@H]1C[C@H]1c1ccccc1,IC50,1150.0,nM,5.94,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL494145,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc(Cl)cc1,IC50,1200.0,nM,5.92,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492589,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)NC(=O)c1ccc(F)cc1,IC50,1400.0,nM,5.85,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492588,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(F)ccc32)CC1)NC(=O)c1ccc(F)cc1,IC50,3100.0,nM,5.51,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL524008,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)[C@@H]1C[C@H]1c1ccccc1,IC50,3900.0,nM,5.41,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL524008,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)[C@@H]1C[C@H]1c1ccccc1,IC50,3900.0,nM,5.41,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL524008,O=C(NCCN1CCC(n2c(=O)[nH]c3ccccc32)CC1)[C@@H]1C[C@H]1c1ccccc1,IC50,3900.0,nM,5.41,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492704,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Br)ccc32)CC1)NC(=O)c1ccc2ccccc2c1,IC50,3900.0,nM,5.41,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL524182,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Br)ccc32)CC1)NC(=O)[C@@H]1C[C@H]1c1ccccc1,IC50,6400.0,nM,5.19,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL524182,C[C@@H](CN1CCC(n2c(=O)[nH]c3cc(Br)ccc32)CC1)NC(=O)[C@@H]1C[C@H]1c1ccccc1,IC50,6400.0,nM,5.19,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL523496,C[C@@H](CN1CCC(n2c(=O)[nH]c3c(F)cccc32)CC1)NC(=O)c1ccc(F)cc1,IC50,10000.0,nM,5.0,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL495349,C[C@@H](CN1CCC(n2c(=O)[nH]c3c(F)cccc32)CC1)NC(=O)c1ccc(Cl)cc1,IC50,12000.0,nM,4.92,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492380,C[C@@H](CN1CCC(n2c(=O)[nH]c3c(F)cccc32)CC1)NC(=O)c1ccc2ccccc2c1,IC50,13000.0,nM,4.89,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL492379,C[C@@H](CN1CCC(n2c(=O)[nH]c3c(F)cccc32)CC1)NC(=O)c1ccc(F)c(F)c1,IC50,14000.0,nM,4.85,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL494587,C[C@@H](CN1CCC(n2c(=O)[nH]c3c(F)cccc32)CC1)NC(=O)[C@@H]1C[C@H]1c1ccccc1,IC50,20000.0,nM,,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL493736,C[C@@H](CN1CCC(n2c(=O)[nH]c3ccc(F)cc32)CC1)NC(=O)[C@@H]1C[C@H]1c1ccccc1,IC50,3800.0,nM,5.42,,CHEMBL957605,9,CHEMBL2734,CHEMBL1153347,7svp,O14939
CHEMBL511475,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc2ccccc2c1,IC50,110.0,nM,6.96,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL511475,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc2ccccc2c1,IC50,110.0,nM,6.96,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL511475,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc2ccccc2c1,IC50,110.0,nM,6.96,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL511475,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc2ccccc2c1,IC50,110.0,nM,6.96,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL470847,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)[C@H]1C[C@@H]1c1ccccc1,IC50,20000.0,nM,,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471054,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc2ccccc2n1,IC50,90.0,nM,7.05,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471054,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc2ccccc2n1,IC50,90.0,nM,7.05,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471055,O=C(C#Cc1ccccc1)NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1,IC50,1600.0,nM,5.8,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471257,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1cc2ccccc2s1,IC50,30.0,nM,7.52,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471258,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)C1CCc2ccccc2C1,IC50,990.0,nM,6.0,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471261,COc1cc(C(=O)NCCN2CCC3(CC2)C(=O)NCN3c2ccccc2)ccc1N,IC50,550.0,nM,6.26,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471463,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1cnc2ccccc2n1,IC50,20000.0,nM,,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471056,C[C@@H](CN1CCC2(CC1)C(=O)NCN2c1ccccc1)NC(=O)c1ccc2ccccc2c1,IC50,140.0,nM,6.85,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471056,C[C@@H](CN1CCC2(CC1)C(=O)NCN2c1ccccc1)NC(=O)c1ccc2ccccc2c1,IC50,140.0,nM,6.85,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471259,C[C@@H](CN1CCC2(CC1)C(=O)NCN2c1ccccc1)NC(=O)[C@H]1C[C@@H]1c1ccccc1,IC50,30000.0,nM,4.52,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL511648,C[C@@H](CN1CCC2(CC1)C(=O)NCN2c1ccccc1)NC(=O)c1ccc(F)c(F)c1,IC50,200.0,nM,6.7,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL513060,Cc1cccc(C(=O)N[C@@H](C)CN2CCC3(CC2)C(=O)NCN3c2ccccc2)c1,IC50,27000.0,nM,4.57,,CHEMBL998624,9,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471054,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc2ccccc2n1,IC50,500.0,nM,6.3,,CHEMBL998628,8,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL471054,O=C(NCCN1CCC2(CC1)C(=O)NCN2c1ccccc1)c1ccc2ccccc2n1,IC50,500.0,nM,6.3,,CHEMBL998628,8,CHEMBL2734,CHEMBL1153994,7svp,O14939
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,3400.0,nM,5.47,,CHEMBL1220782,9,CHEMBL2734,CHEMBL1212709,7svp,O14939
CHEMBL81,O=C(c1ccc(OCCN2CCCCC2)cc1)c1c(-c2ccc(O)cc2)sc2cc(O)ccc12,IC50,3400.0,nM,5.47,,CHEMBL1220782,9,CHEMBL2734,CHEMBL1212709,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,310.0,nM,6.51,,CHEMBL1220782,9,CHEMBL2734,CHEMBL1212709,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,310.0,nM,6.51,,CHEMBL1220782,9,CHEMBL2734,CHEMBL1212709,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,310.0,nM,6.51,,CHEMBL1220782,9,CHEMBL2734,CHEMBL1212709,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,310.0,nM,6.51,,CHEMBL1220782,9,CHEMBL2734,CHEMBL1212709,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,310.0,nM,6.51,,CHEMBL1220782,9,CHEMBL2734,CHEMBL1212709,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,310.0,nM,6.51,,CHEMBL1220782,9,CHEMBL2734,CHEMBL1212709,7svp,O14939
CHEMBL245621,O=C(NCCN1CCC(n2c(=O)[nH]c3cc(Cl)ccc32)CC1)c1ccc(F)cc1,IC50,310.0,nM,6.51,,CHEMBL1220782,9,CHEMBL2734,CHEMBL1212709,7svp,O14939
CHEMBL2137046,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,IC50,74000.0,nM,4.13,,CHEMBL1220782,9,CHEMBL2734,CHEMBL1212709,7svp,O14939
CHEMBL2137046,CCC(=C(c1ccc(O)cc1)c1ccc(OCCN(C)C)cc1)c1ccccc1,IC50,74000.0,nM,4.13,,CHEMBL1220782,9,CHEMBL2734,CHEMBL1212709,7svp,O14939
